Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DateTimeRoutines\DateTimeRoutines.csproj,File,DateTimeRoutines\DateTimeRoutines.csproj,,,,,,,,Current target framework: netstandard2.0;net9.0 Recommended target framework: netstandard2.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Jackett.Common.csproj,,,Microsoft.AspNetCore.WebUtilities 2.3.9,,,,,"Microsoft.AspNetCore.WebUtilities, 2.3.9  Recommendation:  Remove Microsoft.AspNetCore.WebUtilities, and replace with new package Microsoft.AspNetCore.WebUtilities 10.0.9"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Jackett.Common.csproj,,,System.IO.FileSystem.AccessControl 5.0.0,,,,,"System.IO.FileSystem.AccessControl, 5.0.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Jackett.Common.csproj,,,System.ServiceProcess.ServiceController 9.0.16,,,,,"System.ServiceProcess.ServiceController, 9.0.16  Recommendation:  Remove System.ServiceProcess.ServiceController, and replace with new package System.ServiceProcess.ServiceController 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Jackett.Common.csproj,,,System.Text.Encoding.CodePages 9.0.16,,,,,"System.Text.Encoding.CodePages, 9.0.16  Recommendation:  Remove System.Text.Encoding.CodePages, and replace with new package System.Text.Encoding.CodePages 10.0.9"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Jackett.Common.csproj,,,System.Text.Json 9.0.16,,,,,"System.Text.Json, 9.0.16  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.9"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Jackett.Common.csproj,,,,,,,,Current target framework: netstandard2.0;net9.0 Recommended target framework: netstandard2.0;net9.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\WebClient.cs,265,8,T:System.Uri,,,,,protected static Uri RedirectUri(HttpResponseMessage response)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\WebClient.cs,290,12,T:System.Uri,,,,,"return new Uri(response.RequestMessage.RequestUri, newUri);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Jackett.Common\Jackett.Common.csproj,File,Jackett.Common\Utils\Clients\WebClient.cs,290,12,T:System.Uri,,,,,"return new Uri(response.RequestMessage.RequestUri, newUri);"
